location,scale,EI
11.746978392112092,1.0346601585440012,1.3304874272562146
8.266391930773462,0.399158540957595,0.9018143009605123
7.4038524544916005,0.3735106245545449,1.01161094224924
7.062336184710624,0.4343610704545135,0.971099709644184
6.654145414880298,0.5657721914600592,1.079390610341405
6.16576360631524,0.7246141325229755,1.1445987131730444
5.639097059478749,0.9067921486705594,0.9685582060273334
9.162520578213563,0.511699906381559,1.0327169274537695
4.945220410832137,0.9809334067723704,1.1553865549314903
7.759246215386828,0.34713077331947356,0.8288287471386659
